discipline,performance,wind,competitor,date_of_birth,country,venue,gender,date,year,record_type,is_indoor,pending_ratification,mixed_gender_race,women_only_race,venue_country,venue_city,venue_country_official_name,venue_country_region,venue_country_subregion,venue_country_latitude,venue_country_longitude,comp_country_official_name,comp_country_region,comp_country_subregion,comp_country_latitude,comp_country_longitude
"30,000 Metres Race Walk",2:19:21.31,,Hatem GHOULA,1973-06-07,TUN,Reims (FRA),W,2011-03-12,2011,African Records,False,False,False,False,FRA,Reims,French Republic,Europe,Western Europe,46.0,2.0,Tunisian Republic,Africa,Northern Africa,34.0,9.0
Shot Put (5kg),24.35,,Jacko GILL,1994-12-20,NZL,Lille (FRA),W,2011-07-07,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
Shot Put (5kg),24.35,,Jacko GILL,1994-12-20,NZL,Lille (FRA),M,2011-07-07,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
4x800 Metres Relay Short Track,8:06.24,,Moskva Region,,RUS,Moskva (RUS) (i),M,2011-02-18,2011,European Records,True,False,False,False,RUS,Moskva,Russian Federation,Europe,Eastern Europe,60.0,100.0,Russian Federation,Europe,Eastern Europe,60.0,100.0
100 Metres Hurdles,12.28,+1.1,Sally PEARSON,1986-09-19,AUS,"DS, Daegu (KOR)",W,2011-09-03,2011,Oceanian Records,False,False,False,False,KOR,"DS, Daegu",Republic of Korea,Asia,Eastern Asia,37.0,127.5,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
"30,000 Metres Race Walk",2:19:21.31,,Hatem GHOULA,1973-06-07,TUN,Reims (FRA),M,2011-03-12,2011,African Records,False,False,False,False,FRA,Reims,French Republic,Europe,Western Europe,46.0,2.0,Tunisian Republic,Africa,Northern Africa,34.0,9.0
5000 Metres Short Track,12:53.29,,Isiah Kiplangat KOECH,1993-12-19,KEN,Düsseldorf (GER) (i),M,2011-02-11,2011,World U20 Records,True,False,False,False,GER,Düsseldorf,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
"10,000 Metres",26:46.57,,Mo FARAH,1983-03-23,GBR,"Hayward Field, Eugene, OR (USA)",M,2011-06-03,2011,European Records,False,False,False,False,USA,"Hayward Field, Eugene, OR",United States of America,Americas,North America,38.0,-97.0,,,,,
Shot Put,21.24,,Valerie ADAMS,1984-10-06,NZL,"DS, Daegu (KOR)",M,2011-08-29,2011,Oceanian Records,False,False,False,False,KOR,"DS, Daegu",Republic of Korea,Asia,Eastern Asia,37.0,127.5,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
800 Metres,1:43.37,,Mohammed AMAN,1994-01-10,ETH,"Stadio Guidobaldi, Rieti (ITA)",M,2011-09-10,2011,U18 World Best Performances,False,False,False,False,ITA,"Stadio Guidobaldi, Rieti",Italian Republic,Europe,Southern Europe,42.83333333,12.83333333,Federal Democratic Republic of Ethiopia,Africa,Eastern Africa,8.0,38.0
4x400 Metres Relay,3:26.68,,BM&F Bovespa,,BRA,São Paulo (BRA),M,2011-08-07,2011,South American Records,False,False,False,False,BRA,São Paulo,Federative Republic of Brazil,Americas,South America,-10.0,-55.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
Shot Put,21.24,,Valerie ADAMS,1984-10-06,NZL,"DS, Daegu (KOR)",W,2011-08-29,2011,World Championships In Athletics Records,False,False,False,False,KOR,"DS, Daegu",Republic of Korea,Asia,Eastern Asia,37.0,127.5,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
800 Metres,1:44.08,,Leonard Kirwa KOSENCHA,1994-08-21,KEN,Lille (FRA),W,2011-07-09,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
100 Metres Hurdles,12.28,+1.1,Sally PEARSON,1986-09-19,AUS,"DS, Daegu (KOR)",M,2011-09-03,2011,Oceanian Records,False,False,False,False,KOR,"DS, Daegu",Republic of Korea,Asia,Eastern Asia,37.0,127.5,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
4x100 Metres Relay,37.04,,Jamaica,,JAM,"DS, Daegu (KOR)",W,2011-09-04,2011,World Championships In Athletics Records,False,False,False,False,KOR,"DS, Daegu",Republic of Korea,Asia,Eastern Asia,37.0,127.5,Jamaica,Americas,Caribbean,18.25,-77.5
4x800 Metres Relay Short Track,8:06.24,,Moskva Region,,RUS,Moskva (RUS) (i),W,2011-02-18,2011,European Records,True,False,False,False,RUS,Moskva,Russian Federation,Europe,Eastern Europe,60.0,100.0,Russian Federation,Europe,Eastern Europe,60.0,100.0
"50,000 Metres Race Walk",3:35:27.2h,,Yohann DINIZ,1978-01-01,FRA,Reims (FRA),W,2011-03-12,2011,World Records,False,False,False,False,FRA,Reims,French Republic,Europe,Western Europe,46.0,2.0,French Republic,Europe,Western Europe,46.0,2.0
"30,000 Metres",1:26:47.4h,,Moses MOSOP,1985-07-07,KEN,"Hayward Field, Eugene, OR (USA)",M,2011-06-03,2011,World Best Performances,False,False,False,False,USA,"Hayward Field, Eugene, OR",United States of America,Americas,North America,38.0,-97.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
"25,000 Metres",1:12:25.4h,,Moses MOSOP,1985-07-07,KEN,"Hayward Field, Eugene, OR (USA)",M,2011-06-03,2011,World Best Performances,False,False,False,False,USA,"Hayward Field, Eugene, OR",United States of America,Americas,North America,38.0,-97.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
